Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Stefan;Royaume-Uni;Chambre Standard Woody's Roundup;2;Mai 2022;Famille;Commentaire envoyé le 23 mai 2022;8/10 loved it;8,0;;;0;StefanRoyaume-UniChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 23 mai 20228/10 loved it;Cheyenne
Romain;France;Chambre Standard Woody's Roundup;1;Mai 2022;Couple;Commentaire envoyé le 22 mai 2022;Très Très cher pour ce que c’est!!!;4,0;la proximité du parc Disney et la décoration et ambiance extérieur;"très cher pour ce que c’est (300€ prix Booking.com) pour une chambre « dortoir », même pas une bouteille d’eau, avec une déco basique et 25€ de petit déjeuner dans une ambiance extrêmement bruyante. 
On sent bien que l’on est la pour remplir les poches de Mickey !
la prochaine fois je me prendrais un très bon hôtel à l’extérieur de Disney bien plus confortable et moins cher avec un Uber qui me déposera au parc.";0;RomainFranceChambre Standard Woody's RoundupMai 2022CoupleCommentaire envoyé le 22 mai 2022Très Très cher pour ce que c’est!!!;Cheyenne
Guilliaume;Namibie;Chambre Standard Woody's Roundup;3;Mai 2022;Famille;Commentaire envoyé le 22 mai 2022;Exceptionnel;10;;;0;GuilliaumeNamibieChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 22 mai 2022Exceptionnel;Cheyenne
Julien;France;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;1;Avril 2022;Famille;Commentaire envoyé le 20 mai 2022;Fabuleux ;9,0;;;0;JulienFranceChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreAvril 2022FamilleCommentaire envoyé le 20 mai 2022Fabuleux ;Cheyenne
Christine;Belgique;Chambre Standard Woody's Roundup;1;Mars 2022;Couple;Commentaire envoyé le 20 mai 2022;Fabuleux ;9,0;;;0;ChristineBelgiqueChambre Standard Woody's RoundupMars 2022CoupleCommentaire envoyé le 20 mai 2022Fabuleux ;Cheyenne
Katarzyna;Pologne;Chambre Standard Woody's Roundup;1;Mai 2022;Famille;Commentaire envoyé le 20 mai 2022;Exceptionnel;10;;;0;KatarzynaPologneChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 20 mai 2022Exceptionnel;Cheyenne
Yaowanit;Suède;Chambre Standard Woody's Roundup;1;Mai 2022;Famille;Commentaire envoyé le 20 mai 2022;Très bien;8,0;;;0;YaowanitSuèdeChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 20 mai 2022Très bien;Cheyenne
Yaowanit;Suède;Chambre Woody's Roundup à Proximité des Installations;1;Mai 2022;Famille;Commentaire envoyé le 20 mai 2022;Très bien;8,0;;;0;YaowanitSuèdeChambre Woody's Roundup à Proximité des InstallationsMai 2022FamilleCommentaire envoyé le 20 mai 2022Très bien;Cheyenne
Pauline;France;Chambre Standard Woody's Roundup;1;Mai 2022;Couple;Commentaire envoyé le 20 mai 2022;Exceptionnel;10;;;0;PaulineFranceChambre Standard Woody's RoundupMai 2022CoupleCommentaire envoyé le 20 mai 2022Exceptionnel;Cheyenne
Lucie;France;Chambre Woody's Roundup à Proximité des Installations;1;Mai 2022;Famille;Commentaire envoyé le 20 mai 2022;Très bien;8,0;L'ambiance de l'hôtel, la proximité du parc , et surtout la gentillesse du personnel..;La présence de mites dans notre chambre...Et enregistrement à la réception trop long (40 minutes!);1;LucieFranceChambre Woody's Roundup à Proximité des InstallationsMai 2022FamilleCommentaire envoyé le 20 mai 2022Très bien;Cheyenne
John;Irlande;Chambre Standard Woody's Roundup;3;Mai 2022;Famille;Commentaire envoyé le 19 mai 2022;Cool;10;;;0;JohnIrlandeChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 19 mai 2022Cool;Cheyenne
Julie;France;Chambre Standard Woody's Roundup;2;Mai 2022;Groupe;Commentaire envoyé le 19 mai 2022;Très bon séjour;8,0;"Un personnel au top.
Une chambre spacieuse au décor western super sympa.
Petit déjeuner avec beaucoup de choix.
Possibilité de voir Woody ou Jessie dans l hotel juste magnifique";Pour un 3 étoiles et pour le prix la propreté n'est pas au rendez-vous;1;JulieFranceChambre Standard Woody's RoundupMai 2022GroupeCommentaire envoyé le 19 mai 2022Très bon séjour;Cheyenne
Jingdian;Royaume-Uni;Chambre Standard Woody's Roundup;2;Mai 2022;Couple;Commentaire envoyé le 19 mai 2022;Agréable;6,0;;;0;JingdianRoyaume-UniChambre Standard Woody's RoundupMai 2022CoupleCommentaire envoyé le 19 mai 2022Agréable;Cheyenne
Amélie;Belgique;Chambre Standard Woody's Roundup;2;Mai 2022;Famille;Commentaire envoyé le 19 mai 2022;Passez votre chemin, hôtel à fuir;2,0;Proximité des parcs;"Propreté déplorable. Il est clairement déconseille d'enlever les chaussures dans votre chambre au vu de la crasse au sol.
Dans les parties communes, au vu de la poussière et de l'état des tapis, il est probable que celles-ci n'ont pas été nettoyées depuis plusieurs semaines. 
Cast members qui débarquent 2 jours de suite dans la chambre au matin, sans toquer.
Rapport qualité-prix honteux, au vu que la qualité des prestations.
Chambre petite par rapport aux chambres Disney habituelles";4;AmélieBelgiqueChambre Standard Woody's RoundupMai 2022FamilleCommentaire envoyé le 19 mai 2022Passez votre chemin, hôtel à fuir;Cheyenne
Victor;France;Chambre Standard Woody's Roundup;1;Mai 2022;Couple;Commentaire envoyé le 18 mai 2022;Très bien;8,0;;;0;VictorFranceChambre Standard Woody's RoundupMai 2022CoupleCommentaire envoyé le 18 mai 2022Très bien;Cheyenne
